nom;ville
Relai ambulatoire vaccination -centre sante polyvalent François Héritier ;Veauche
CENTRE HOSPITALIER D'ARDECHE NORD (Professionnels de santé uniquement);Annonay
Centre de vaccination d'Aurillac - Centre médico-chirurgical de Tronquières - ELSAN;Aurillac
CH Agglomération Montargoise  - réservé aux professionnels de santé en activité;Amilly
CH de Gien - réservé aux professionnels de santé;Gien
CH de Beaugency - réservé aux professionnels en exercice;Beaugency
Maison des Associations et du  Bénévolat (MAB);La Mure
Centre de vaccination de l'Hôpital Nord-Ouest-Villefranche - Hôpital de Tarare;Tarare
CENTRE DE SANTE MUTUALISTE GALLIENI;Bordeaux
CV éphémère - Dun-sur-Auron;Dun-sur-Auron
CENTRE DE VACCINATION -  MAIRIE - MERIGNAC;Mérignac
Centre de Vaccination Limeil La Boite à Clous;Limeil-Brévannes
Médipôle de Cluses;Cluses
CMN ST-FEYRE;Sainte-Feyre
Centre Hospitalier St Julien en Genevois;Saint-Julien-en-Genevois
Centre de vaccination de l'Hôpital de Belleville;Belleville-en-Beaujolais
Centre de vaccination COVID - Bourg Saint Maurice;Bourg-Saint-Maurice
COURTHEZON / CENTRE DE VACCINATION COVID-19;Courthézon
Centre de vaccination du territoire de la Haute Vallée;Valgorge
Centre de vaccination pédiatrique de St Maur des Fossés;Sucy-en-Brie
Centre de vaccination du CH d'Oyonnax - Centre hospitalier du Haut Bugey;Oyonnax
Centre de vaccination pédiatrique de Nogent sur Marne;Nogent-sur-Marne
Centre vaccinal de l'Eyrieux site secondaire Saint-Martin de Valamas;Saint-Martin-de-Valamas
CV Nouan-le-Fuzelier;Nouan-le-Fuzelier
JOSSELIN - Centre de vaccination;Josselin
Lagny Centre de vaccination du Totem ;Lagny-sur-Marne
Bonneville - AGORA;Bonneville
Centre vaccination Monistrol ;Monistrol-sur-Loire
Centre de vaccination de Vals les Bains;Vals-les-Bains
Centre hospitalier de Blois - Simone Veil - réservé aux professionnels de santé;Blois
Centre de vaccination pédiatrique de Saint Didier au Mont d'Or;Saint-Didier-au-Mont-d'Or
POIX-TERRON;Poix-Terron
Centre de vaccination de la Métropole Troyenne (Espace Argence);Troyes
Centre de vaccination -Hôpital Pierre Wertheimer - HCL;Bron
Centre MSP le PRISME;Remoulins
centre Costières CPTS Nîmes;Nîmes
Espace culturel et sportif FLEURANCE;Fleurance
CV éphémère - Les Aix d'Angillon;Les Aix-d'Angillon
Centre de vaccination des Combrailles - Maison de santé de Pontgibaud;Pontgibaud
CDV31 - Vaccibus Pechbonnieu;Pechbonnieu
Relai ambulatoire de St Just d'Ardèche;Saint-Just-d'Ardèche
Centre MSP Petite Camargue;Vauvert
Centre de vaccination de Réguisheim;Réguisheim
Centre de vaccination  COVID  CH de RIOM;Riom
Centre de vaccination de la Ville de Bron - Espace Roger Pestourie;Bron
Centre de vaccination SOS Médecins Cronenbourg;Strasbourg
Centre de vaccination - Domaine des Lugées;Arès
Centre de vaccination de la Plaine de l'Ain - Espace 1500;Ambérieu-en-Bugey
CV attente (41) 3;Blois
Centre de vaccinations d'Argentat Sur Dordogne;Argentat-sur-Dordogne
Hôpitaux du Léman - Espace gériatrique;Thonon-les-Bains
Centre de vaccination COVID - Hôpital Privé Médipôle de Savoie  (Professionnels de santé uniquement);Challes-les-Eaux
Centre de vaccination COVID - Service de Santé au Travail - CHMS - Chambéry  (Professionnels de santé uniquement);Chambéry
Centre de vaccination de Thionville - Clinique Notre-Dame;Thionville
Centre éphémère de vaccination du Pouzin;Le Pouzin
MA - USN1 / Maison d'Arrêt de Privas;Privas
CP - Centre pénitentiaire de Riom / Centre de Détention de Riom;Riom
Centre de vaccination de VOLVIC;Volvic
Mairie du 15e;Paris
Relai ambulatoire CEP St Peray;Saint-Péray
"Dispositif de vaccination ""aller vers"" de la ville de Villeurbanne";Villeurbanne
Centre de vaccination Terre de Camargue;Le Grau-du-Roi
Pilat Rhodanien;Saint-Pierre-de-Bœuf
EPOISSES Salle communale;Époisses
Centre de vaccination COVID Ad Hoc de Saint Alban Leysse;Saint-Alban-Leysse
Centre de vaccination COVID Ad Hoc de Saint Jean d'Arvey;Saint-Jean-d'Arvey
Centre Hospitalier VITRY-LE-FRANCOIS;Vitry-le-François
Relai Ambulatoire de Vaccination - MODANE;Modane
Centre de vaccination de l'Auxerrois- Gymnase Bienvenu MARTIN;Auxerre
Centre de vaccination de Faverges-Seythenex;Faverges-Seythenex
Lieu de vaccination de MONTMEDY (salle des fêtes);Montmédy
Centre de Vaccination de Caluire  - Gymnase Lachaise;Caluire-et-Cuire
Vaccibus ARS41;Blois
Pôle relai ambulatoire de Meyras;Meyras
EHPAD La Madeleine;Bergerac
CH Corte Tattone;Corte
Centre de vaccination d'Arnas - Espace sportif de l'Escale ;Arnas
MSP Mouzon;Mouzon
relai ambulatoire de vaccination ROANNE -MSP Roanne-Villerest ;Roanne
Equipe mobile de vaccination de Saint Donat;Saint-Donat-sur-l'Herbasse
Centre de vaccination COVID - SAINT JEAN DE MAURIENNE;Saint-Jean-de-Maurienne
Centre de vaccination COSEC Roger Marche VILLERS-SEMEUSE;Villers-Semeuse
Centre de vaccination de Crest Espace Soubeyran;Crest
CV éphémère Luisant;Luisant
Centre de vaccination - VERTOU - Salle Sèvre et Maine;Vertou
Centre de vaccination - Foyer des aînés;Watten
MSP Fleurey-sur-Ouche;Fleurey-sur-Ouche
Centre de vaccination d'Ingwiller ;Ingwiller
Urgences du CH de Saint Tropez;Gassin
Centre de vaccination de Lusignan;Lusignan
CDV31 Vaccibus Montesquieu Volvestre;Montesquieu-Volvestre
MSP Buzancy;Buzancy
Athis-Mons CVA;Athis-Mons
Centre de vaccination du Fayet - Saint Gervais les Bains;Saint-Gervais-les-Bains
Equipe mobile de vaccination de Donzère -La Chocolaterie;Donzère
RENNES -  Centre Villejean Malifeu;Rennes
Croix Rouge Française Dijon;Quetigny
Centre de vaccination COVID Ad Hoc de Saint Pierre d'Albigny;Saint-Pierre-d'Albigny
Savigny-sur-Orge CVA;Savigny-sur-Orge
Savigny-sur-orge RAV ;Savigny-sur-Orge
Clinique du renaison;Roanne
MA - C.H. de Guéret / Maison d'Arrêt de Guéret;Guéret
MUZILLAC - Salle du COSEC;Muzillac
Centre de Vaccination COVID - NANTES Nord - Salle Erdre;Nantes
Centre de vaccination - Boulevard de Metz;Lille
Centre de vaccination -  Espace Gaston Bachelard (Maison de la vie associative);Valence
RENNES - Centre Plaine de Baud (SDIS);Rennes
Centre de vaccination COVID - LES HERBIERS - Espace Herbauges;Les Herbiers
Equipe mobile de vaccination Sauzet;Sauzet
MEGACENTRE SAVOIEXPO;Chambéry
Morangis RAV;Morangis
RAV Noisy-le-Sec : CMS Noisy-le-Sec;Noisy-le-Sec
Centre éphémère site de Hell-Bourg;Salazie
MSP Signy L'Abbaye;Signy-l'Abbaye
Centre médical Toki Eder;Cambo-les-Bains
Centre de vaccination Chamalières;Chamalières
Centre de vaccination de Pont de Veyle - Salle annexe Mairie (à côté de la bibliothèque municipale);Pont-de-Veyle
Centre de vaccination de Civrieux d'Azergues - Gymnase du Centre sportif;Civrieux-d'Azergues
CV éphémère Nogent-le-Roi;Nogent-le-Roi
Centre de vaccination COVID Ad Hoc de YENNE;Yenne
Centre de vaccination d'AUBRIVES;Aubrives
CH DIEPPE;Dieppe
Centre de vaccination Ballon Saint Mars;Ballon-Saint Mars
Epinay-sous-Sénart RAV ;Épinay-sous-Sénart
Evian - halle de Passerat - Nv Rte du stade;Évian-les-Bains
EQUIPE MOBILE DE VACCINATION DE L'ARDECHE;Privas
CV éphémère Ouarville;Ouarville
Centre de vaccination de Marnay;Marnay
Centre de vaccination  Etang Saint-Paul ;Saint-Paul
Centre de vaccination mobile - Mulhouse Alsace Agglomération (M2A);Mulhouse
Centre de vaccination - CPTS sud Valence ;Portes-lès-Valence
Relai ambulatoire de St Paul le Jeune;Saint-Paul-le-Jeune
Relai ambulatoire - MSP des soins premiers de Villeurbanne Est;Villeurbanne
Département de la Seine-Maritime – CMS Sotteville-lès-Rouen;Sotteville-lès-Rouen
Relai ambulatoire - Cabinet infirmier ALLITI/LAYGRE;Lyon
CH Chaumont;Chaumont
CARHAIX - Pépinière des entreprises;Carhaix-Plouguer
Centre de vaccination - Bordeaux - Hangar 18;Bordeaux
Centre de vaccination de Sézanne;Sézanne
Lieu de vaccination de VAUCOULEURS;Vaucouleurs
centre de vaccination du SDIS - Bassin de Melle;Brioux-sur-Boutonne
Equipe mobile de vaccination Dieulefit salle de la Halle;Dieulefit
Centre d'examen de sante de la CPAM;Cahors
Centre de Vaccination de Lure;Lure
Centre de vaccination IPSDE Hautepierre;Strasbourg
Centre de vaccination de Boulay;Boulay-Moselle
Relai ambulatoire de vaccination - Centre de santé du Diaconat Protestant;Valence
DIJON Salle Devosge;Dijon
Lycée Brières;Reims
Centre de vaccination COVID Ad Hoc de Montmélian;Montmélian
Centre de Vaccination d'Héricourt;Héricourt
Centre vaccination Saint-Flour - Maison de quartier de Besserette;Saint-Flour
Centre de vaccination COVID Ad Hoc de Valgelon-La Rochette;Valgelon-La Rochette
VAL-COUESNON - Ancienne Mairie d'Antrain;Val-Couesnon
Centre de vaccination de Rixheim - Cité des sports;Rixheim
Centre de vaccination de Bischwiller;Bischwiller
Centre de vaccination de Montigny-les-Metz (Salle de la Paix, Espace Europa);Montigny-lès-Metz
Les Monts d'Aunay;Les Monts d'Aunay
Centre de vaccination de Vesoul;Vesoul
Centre de vaccination de Mauléon;Mauléon-Licharre
BEAUNE Gymnase des Blanches Fleurs;Beaune
Centre de vaccination COVID Ad Hoc de Grésy-sur-Aix;Grésy-sur-Aix
Centre de vaccination de Langeac;Langeac
Centre de vaccination de Prévessin-Moëns - Salle polyvalente Gaston Laverrière;Prévessin-Moëns
Centre de Vaccination de Luxeuil-les-Bains;Luxeuil-les-Bains
Centre éphémère Mairie de l'Etang Salé;L'Étang-Salé
Centre de Salins les Bains;Salins-les-Bains
Relai ambulatoire de vaccination - MSP Deuil-la-Barre;Deuil-la-Barre
Centre de vaccination de REVIN;Revin
Centre de vaccination d'Orgelet - la Grenette;Orgelet
Centre de Vaccination de Gray;Gray
"Centre de vaccination - ""Centre Hospitalier  de Boulogne sur mer""";Boulogne-sur-Mer
Cosne Cours Sur Loire- salle Polyvalente;Cosne-Cours-sur-Loire
Centre de vaccination intercommunal - Ambarès et Lagrave - Salle des Fêtes Lagrave;Ambarès-et-Lagrave
Centre de vaccination - Soulac sur Mer - Palais des Congrès ;Soulac-sur-Mer
Centre de vaccination intercommunal de Gallargues;Gallargues-le-Montueux
Centre de Poligny;Poligny
"CP - Unité de soins somatiques et psychiatriques du centre pénitentiaire de CHATEAUROUX ""Le Craquelin"" / Maison Centrale de Saint-Maur";Saint-Maur
Relai ambulatoire vaccination - MSP Sud Grésivaudan;Saint-Marcellin
Mairie du 8e;Paris
Centre de vaccination - tour Valeriana;Saint-Valérien
Centre de vaccination - Salle Paul Bert;Villeneuve-l'Archevêque
Centre de Chaussin;Chaussin
Centre de vaccination de Cluny - Salle des Griottons;Cluny
Equipe mobile - CV de Vesoul;Vesoul
Centre de vaccination de Bourbon-Lancy;Bourbon-Lancy
Centre de vaccination de Chagny;Chagny
"Centre de vaccination - Ville de Hirson, -	Salle Aumale";Hirson
Centre de vaccination- CH Château-Thierry;Château-Thierry
CH Agglomération de Nevers;Nevers
Centre de vaccination de Gergy;Gergy
CH ARCACHON;La Teste-de-Buch
Centre de vaccination Espace santé Simone Veil;Saint-Clément
Centre de Saint Laurent en Grandvaux;Saint-Laurent-en-Grandvaux
VANNES - CHBA (réservé PS);Vannes
Centre de Vaccination de Jussey;Gevigney-et-Mercey
Centre de vaccination salle polyvalente;Villeneuve-sur-Yonne
LANNION - CH (réservé PS);Lannion
BREST - CHU Site Cavale Blanche (réservé PS);Brest
Centre de vaccination de La Clayette - Salle des fêtes;La Clayette
Relai ambulatoire - Pharmacie du point du jour;Lyon
Relai ambulatoire - CVI ISBA LYON;Lyon
Relais Pontlevoy;Pontlevoy
centre de vaccination du plateau Matheysin - CPTS LMSI;Susville
ST BRIEUC - CH (réservé PS);Saint-Brieuc
ST RENAN - ZA Mespaol;Saint-Renan
RENNES - Complexe sportif Bréquigny;Rennes
AURAY - CH;Auray
GRANDCHAMP - Salle multifonctionnelle;Grand-Champ
Centre de vaccination de Thônes - Espace Coeur de Vallée;Thônes
BREST - CHU Site Bohars (réservé PS);Bohars
Centre de vaccination de Mazamet - Palais des Congrès;Mazamet
Centre de vaccination de l'Hôpital du Gier;Saint-Chamond
DINAN - Centre des congrès;Dinan
BREST - Iroise;Brest
CHATEAULIN - Espace Penmez;Châteaulin
LESNEVEN - L'atelier;Lesneven
MELGVEN - Salle polyvalente;Melgven
Centre de vaccination - Mairie de Mens;Mens
LIFFRE - Centre social;Liffré
DOL DE BGNE-Club de l'amitié;Dol-de-Bretagne
Centre de vaccination - Montalieu - Espace Ninon Vallin;Montalieu-Vercieu
Relai ambulatoire - Pôle infirmier du Point du jour;Lyon
Centre de vaccination de Remiremont;Remiremont
VANNES - Grand centre Kercado;Vannes
Centre de vaccination de Wittenheim - Complexe Léo Lagrange;Wittenheim
QUIBERON - Maison des associations;Quiberon
CROZON - Maison pour tous Tal ar Groas;Crozon
BREST - HIA (Keroriou);Brest
CAUDAN - salle de Kergoff;Caudan
CHU de Guadeloupe - Centre réservé aux professionnels de santé;Les Abymes
DINARD - Salle Henri Dunant;Dinard
CV éphémère - Neuvy-sur-Barangeon;Neuvy-sur-Barangeon
Centre de vaccination de Hombourg-Haut - Espace Wendel;Hombourg-Haut
Relai ambulatoire - ADN Santé Lyon;Lyon
CHRU Tours - Site de Bretonneau  - CAP Santé Centre de vaccination;Tours
Centre de vaccination CPTS - Rives d'Auron;Bourges
Centre de vaccination du CHOR;Saint-Paul
Salle Fernand Pellicer - Orléans La Source;Orléans
Centre de vaccination du centre hospitalier de Valence;Valence
Centre vaccination-Centre hospitalier d'Aurillac  ;Aurillac
"Accueil jeunesse - Centre de vaccination ""grand public"" - La Loupe";La Loupe
Centre de vaccination Tours-Les halles;Tours
Graçay CV éphémère;Graçay
Centre de vaccination public - Salle des fêtes Jean Moulin ;Villedieu-sur-Indre
Espace Jorge Semprun - Blois;Blois
 Centre de vaccination Cozzano;Cozzano
Centre de vaccination Intercommunal Les Abrets en Dauphine;Les Abrets en Dauphiné
Centre Exposition Fabrique Normant - salle culturelle;Romorantin-Lanthenay
Pôle de santé de Valençay /CPTS Boischaut nord;Valençay
Salle Molière - Amboise;Amboise
Centre de vaccination 5-11 ans Vesoul;Vesoul
Centre de vaccination - Sully-sur-Loire;Sully-sur-Loire
Centre de vaccination de Thiers - Centre hospitalier - Locaux USN 2;Thiers
CV éphémère - Sancergues;Sancergues
Equipe mobile - CD 45;Orléans
Espace Tivoli - Chatillon;Châtillon-sur-Indre
Centre de vaccination - la Gare des Collines - Maison France Service;Mondoubleau
CV éphémère Henrichemont;Henrichemont
Centre de vaccination SOS Médecins 37;Tours
Salle des fêtes Maurice Leblond - Maintenon-Pierres CV éphémère;Pierres
La guerche sur l'Aubois CV éphémère;La Guerche-sur-l'Aubois
Trouy/Plaimpied Cv éphémère;Trouy
Boulleret CV éphémère;Boulleret
Centre hospitalier de Beaugency - centre de vaccination public;Beaugency
Hôpital de Bonifacio;Bonifacio
Centre de vaccination Neung-sur-Beuvron;Neung-sur-Beuvron
CV éphémère Meung-sur-Loire;Meung-sur-Loire
Centre de vaccination éphémère de Veuzain sur Loire;Veuzain-sur-Loire
CV éphémère d'Oucques la nouvelle;Oucques La Nouvelle
Salle polyvalente La Savonnière - Epernon;Épernon
Centre de vaccination pérenne;Saint-Doulchard
Brezolles- CV éphémère - Gymnase;Brezolles
Centre de vaccination éphémère de Montoire sur le Loir;Montoire-sur-le-Loir
Centre de vaccination éphémère de Mur de Sologne;Mur-de-Sologne
Centre de vaccination éphémère de Bracieux;Bracieux
Centre de vaccination éphémère de St Armand Longpré;Saint-Amand-Longpré
Caserne SDIS Bourges (danjons) CV éphémère;Bourges
Vailly sur sauldre CV éphémère;Vailly-sur-Sauldre
Centre de vaccination éphémère de de Saint Laurent Nouan;Saint-Laurent-Nouan
Selles sur Cher centre éphémère;Selles-sur-Cher
Beauce la romaine centre éphémère;Beauce la Romaine
Saint Martin d'Auxigny CV éphémère;Saint-Martin-d'Auxigny
Montrichard CV éphémère;Montrichard Val de Cher
Centre de vaccination de Salbris;Salbris
Monthou sur Bièvre;Monthou-sur-Bièvre
CV éphémère Méreau-Méry-Foëcy;Méreau
CV éphémère Culan;Culan
MSP relai Châteaumeillant;Châteaumeillant
Centre de vaccination de Bonneval;Bonneval
Centre de vaccination - MSP relai Levet;Levet
Centre de vaccination - Saint-Cyr-sur-Loire;Saint-Cyr-sur-Loire
Centre de vaccination - Gymnase Onze Arpents de Saint-Avertin;Saint-Avertin
CV éphémère - Sancoins;Sancoins
Centre de vaccination éphémère;Nérondes
CV éphémère Tigy;Tigy
CV éphémère Nogent-sur-Vernisson;Nogent-sur-Vernisson
CV éphémère Beaune-la-Rolande;Beaune-la-Rolande
CV éphémère Lorris;Lorris
CV éphémère Ferrières en Gâtinais;Ferrières-en-Gâtinais
CH Agglomération Montargoise - Grand Public;Amilly
Relais Ambulatoire de Vaccination MSP village médical de Roissy-en-Brie;Roissy-en-Brie
Point relai ambulatoire Paul Lansas de Villeneuve de Berg;Villeneuve-de-Berg
Centre hospitalier de Mâcon;Mâcon
Salle Jules Amiot - Illiers-Combray - Complexe sportif Jean Moulin;Illiers-Combray
Centre-site du Casone / ancien Baléone;Ajaccio
Centre communal Bastia / ancien Lupino;Bastia
Centre Communal ( Péristyle du théâtre) Bastia;Bastia
GHH site de monod;Montivilliers
Relais Ambulatoire de Vaccination MSP Bois des Granges à Claye-Souilly;Claye-Souilly
Centre de vaccination de l'école de santé Militaires de Lyon-Bron;Bron
Centre vaccination de LURI;Luri
Maison de santé Polygone Bastia;Bastia
Hôpital Nord Franche-Comté;Trévenans
CH Les Andelys;Les Andelys
CHI Eure-seine site Evreux;Évreux
CH Bernay;Bernay
CHU ROUEN - BATIMENT AUBETTE;Rouen
CHI Elbeuf;Saint-Aubin-lès-Elbeuf
Avranches;Avranches
CHU - Hôpital Saint Julien ;Le Petit-Quevilly
Centre de vaccination Carrefour Nîmes Etoile;Nîmes
Gisors : salle des fêtes;Gisors
Centre de vaccination Isigny-sur-Mer - mairie;Isigny-sur-Mer
Polyclinique du parc - Caen - service soins externes;Caen
Salle des Fêtes de Bléville;Le Havre
Clinique Vire;Vire Normandie
GHH Site Flaubert;Le Havre
Equipe Mobile Résidences Autonomie territoire Calvados;Caen
Equipe Mobile Résidences Autonomie et Territoire Eure;Évreux
CHI Caux Vallée de Seine  - Lillebonne ;Lillebonne
Halle des expositions d'Evreux;Évreux
VERNON Ancien collège César Lemaitre annexe CH;Vernon
Centre de vaccination de Romans sur Isère - Salle des cordeliers;Romans-sur-Isère
Equipe Mobile Résidences Autonomie et Territoire Manche;Saint-Lô
CV éphémère Echilleuses;Échilleuses
Rouen - Cabinet médical des Carmes;Rouen
CDV Quetigny;Quetigny
Equipe Mobile Résidences Autonomie et Territoire Orne;Alençon
Relais ambulatoire de vaccination - MSP de Joze;Joze
CD - US DE Val De Reuil / Centre de Détention de Val-de-Reuil;Val-de-Reuil
Centre de vaccination Creully;Creully sur Seulles
Centre de vaccination du Genevois - Archamps;Archamps
SEMUR-EN-AUXOIS Caveau des Maréchaux;Semur-en-Auxois
Office Français de l'Immigration et de l'Intégration;Marseille
Centre de vaccination Condé-en-Normandie;Condé-en-Normandie
Centre de vaccination Mézidon Vallée d'Auge;Mézidon Vallée d'Auge
Centre de vaccination de Saint André de l'Eure;Saint-André-de-l'Eure
Centre de vaccination de Saint-Joseph;Saint-Joseph
Barentin – Caux Austreberthe;Barentin
Centre de Vaccination de Boege;Boëge
Centre de Vaccination Espace BALAVOINE;Tiercé
Relai ambulatoire de vaccination - Centre médical de Saint-Denis-lès-Bourg;Saint-Denis-lès-Bourg
Centre éphémère de Mare à Martins;Salazie
Centre de vaccination de la communauté professionnelle territoriale de santé  -  Salle de la Charpenterie à Saint Bonnet de Mure;Saint-Bonnet-de-Mure
la Ville du Bois CVA;La Ville-du-Bois
Centre de vaccination de Bouzonville;Bouzonville
Plan de Campagne - Centre commercial Avant Cap;Cabriès
Centre de vaccination - Pôle Médical Coeur de Gâtine;Parthenay
Grand Centre Périgueux - Filature de l'Isle;Périgueux
Centre de vaccination Espace Jouanolou Juillan;Juillan
Centre de vaccination - Bardot;Pont-à-Mousson
Centre de vaccination du CHI de Mont de Marsan;Mont-de-Marsan
CH OLORON;Oloron-Sainte-Marie
Equipe mobile de la Miséricorde;Caen
BERNAY : centre ville ANNEXE CH BERNAY;Bernay
Centre de vaccination de Beaumont;Beaumont
Centre de vaccination éphémère de l'Isle-Adam;L'Isle-Adam
GH HAUT VAL DE SEVRE ET DU MELLOIS - SITE DE ST-MAIXENT;Saint-Maixent-l'École
Centre de santé Bauchat-Nation;Paris
CHU BORDEAUX - SITE SAINT ANDRE;Bordeaux
Centre de vaccination de la communauté professionnelle territoriale de santé - Saint Priest;Saint-Priest
Centre de vaccination CPTS Portes du Dauphiné ;Charvieu Chavagneux
Centre de vaccination Pôle Médical de Sénart à Lieusaint;Lieusaint
Centre de vaccination de Saint Palais;Saint-Palais
Vaccinodrome SDIS 76 Rouen RG;Le Grand-Quevilly
Centre de vaccination éphémère Les 3 Fontaines;Cergy
Centre de Vaccination du CH d'ORTHEZ;Orthez
Centre de vaccination GHSIF MELUN - Site de Brie Comte Robert;Brie-Comte-Robert
LE GRAND FEU;Niort
HIHL - SITE DE BELLAC;Bellac
CH Eure-seine Vernon Pavillon Aguilar;Vernon
Centre de vaccination - salle du Pont du Buy;Brive-la-Gaillarde
Centre de vaccination CMC LES CEDRES;Brive-la-Gaillarde
Centre de vaccination du CH-Buech Durance LARAGNE;Laragne-Montéglin
Centre de vaccination de Montluçon ;Montluçon
Centre de vaccination de PARAY LE MONIAL - Salle du Centre associatif Parodien;Paray-le-Monial
Relai Ambulatoire de vaccination - MSP de Haute Maurienne Vanoise;Val-Cenis
Centre de vaccination de Carentan-Les-Marais - Salle des fêtes;Carentan-les-Marais
Maison des associations de la ville de Bayonne;Bayonne
Centre de vaccination site de Feurs - Salle de l'Eden;Feurs
Centre de vaccination Intercommunal de Saint Marcellin;Saint-Marcellin
Centre de vaccination DIGOIN - Grande salle des fêtes;Digoin
CENTRE CLINIQUE PASTEUR ROYAN;Royan
ROSTRENEN - Centre Salle des fêtes;Rostrenen
Centre de Vaccination Saint Jean d'Angély;Saint-Jean-d'Angély
Centre de vaccination de Dignac;Dignac
Ville de Salon de Provence - Salle Polyvalente;Salon-de-Provence
Clinique Sainte Odile;Haguenau
Centre de vaccination pédiatrique de Bar-le-Duc;Bar-le-Duc
Centre Hospitalier du pays d'Eygurande;MONESTIERS-MERLINES
Maison de santé de Blaye;Blaye
NOUVELLE CLINIQUE DU TONDU;Floirac
VACCI BUS;Tulle
Croix Rouge Polytechnique;Palaiseau
Relai ambulatoire de vaccination - MSP ESPACE SANTE COTIERE - 1er étage;Saint-Maurice-de-Beynost
Centre de vaccination de Saint Vallier;Saint-Vallier
"Relai ambulatoire de vaccination ""La Passerelle""";Arnas
Saint Hilaire du Harcouët;Saint-Hilaire-du-Harcouët
Payrac;Payrac
Grand Centre de Vaccination de la Ville de Pau;Pau
Centre de Vaccination - Ville d'Anglet;Anglet
Centre de vaccination Saint Jean de Luz - Bassin de la nivelle ;Saint-Jean-de-Luz
Centre de Vaccination de la Ville de Lescar;Poey-de-Lescar
Centre de santé des Luys-Arzacq;Arzacq-Arraziguet
MA - US / Maison d'Arrêt de Coutances;Coutances
Centre de Vaccination de Dax ville;Dax
Relai ambulatoire - VLEM Vendenheim;Vendenheim
DRAVEIL CVAE (Dialyse);Draveil
Centre de vaccination de La Bourbonnette -  Conseil Départemental Allier;Moulins
"Relais ambulatoire de vaccination - MSP Pédiatrique de Clermont-ferrand ""Les P'tits Soins""";Clermont-Ferrand
Maison de santé pluridisciplinaire du Pays de Lanouaille;Lanouaille
Centre de vaccination de Biarritz - Halle Iraty;Biarritz
CENTRE DE VACCINATION DE ARGELES GAZOST;Argelès-Gazost
QUIMPERLE - Gymnase Cordiers;Quimperlé
Ville de Colombes;Colombes
Maison de santé du Pays Montponnais;Montpon-Ménestérol
MSP Saint Alvère;Val de Louyre et Caudeau
Centre de vaccination de Nyons - nouvelle maison de pays;Nyons
GH HAUT VAL DE SEVRE ET DU MELLOIS - SITE DE MELLE ;Melle
Centre de vaccination - CPTS du Thouarsais et Val de Thouet;Thouars
Hôpital Privé Francheville;Périgueux
Centre de vaccination - Mairie de Lacanau / pôle de l'aiguillonne;Lacanau
 Draveil CVAE Ile de loisirs ;Draveil
CENTRE DE VACCINATION DE VIC-EN-BIGORRE;Vic-en-Bigorre
Centre de vaccination Haute Gironde - CARS;Cars
CENTRE DE VACCINATION DE BAGNERES-DE-BIGORRE;Bagnères-de-Bigorre
Centre de vaccinations d'Uzerche;Uzerche
Centre de Vaccination - Salle Lucie Aubrac;Floirac
Centre de vaccination EHPAD La Madeleine;Bergerac
 DOURDAN  CVAE CRIF;Dourdan
Centre de vaccination de la Ville de Rillieux-La-Pape - Ancienne salle des fêtes Verdun;Rillieux-la-Pape
CDV31 Fronton;Fronton
Centre de vaccination de Champdeniers;Champdeniers
CDV31 Vaccibus Verfeil;Verfeil
Centre de Vaccination de Bénéjacq;Bénéjacq
Centre de vaccination - Beaulieu sur Dordogne;Beaulieu-sur-Dordogne
MA - Maison d'arrêt d'angouleme / Maison d'Arrêt d'Angoulême;Angoulême
CD - Unité Sanitaire Niveau 1 - Centre de Détention de MAUZAC / Centre de Détention de Mauzac;Mauzac-et-Grand-Castang
Centre de vaccination aéroport de Pierrefonds;Saint-Pierre
Maison de santé pluridisciplinaire de Lalinde;Lalinde
Centre de vaccination pédiatrique de VERDUN (Salle Cassin);Verdun
Centre de vaccination de Moncoutant - CPTS du Bressuirais;Moncoutant-sur-Sèvre
Centre de vaccination de Nueil-les-Aubiers  - CPTS du Bressuirais;Nueil-les-Aubiers
Centre de vaccination de Saint Martin de Seignanx;Saint-Martin-de-Seignanx
Salle des Fêtes SAMATAN;Samatan
CENTRE DE VACCINATION ROYAN;Saint-Sulpice-de-Royan
CDV31 Balma;Balma
Centre de vaccination - Corrèze;Corrèze
Centre de vaccination de Soustons;Soustons
centre de vaccination du SDIS - Bassin de Parthenay;Parthenay
Centre de vaccination éphémère de Villeneuve de Marsan;Villeneuve-de-Marsan
centre de vaccination du SDIS - Bassin de Thouars;Thouars
CENTRE DE VACCINATION - BIGANOS;Biganos
Centre SDIS 87;Limoges
Centre de vaccination Argelès sur Mer;Argelès-sur-Mer
Centre de vaccination de Bressuire - CPTS du Bressuirais;Bressuire
Centre de vaccination du Pays de Gex - Centre hospitalier du Pays de Gex;Gex
Centre de vaccination - SUD CAN;Mauzé-sur-le-Mignon
Centre de vaccination du Lectourois;Lectoure
MSP CARIGNAN;Carignan
centre de vaccination du SDIS - Bassin de Niort;Vouillé
Centre de vaccination - Margaux-Cantenac - Salle des Fêtes;Margaux-Cantenac
antenne MSP Charlieu ;Charlieu
Centre de vaccination de Garlin;Garlin
Centre de vaccination d'Hasparren;Hasparren
Centre de vaccination intercommunal de Pontacq;Pontacq
Centre de vaccination de Morlaàs;Morlaàs
Centre de vaccination de Bidache;Bidache
Centre de Saint-Pierre d'Irube - Ametzondo;Saint-Pierre-d'Irube
Centre de Sauveterre-de-Béarn (établissements de Coulomme);Sauveterre-de-Béarn
Centre de vaccination de La Roche-Posay;La Roche-Posay
